Date,sma_5,std_5,momentum_5,sma_10,std_10,momentum_10,sma_20,std_20,momentum_20,sma_50,std_50,momentum_50,sma_100,std_100,momentum_100
2020-12-18,21183.48828125,1826.0285878189386,3995.578125,19874.129296875,1862.4451959366852,4816.81640625,19435.29970703125,1398.2330201005168,5420.546875,17552.05828125,2227.617942055413,9700.078125,14432.45056640625,3568.310335881601,12895.61328125
2020-12-19,22108.12578125,1769.7336037767702,4623.1875,20405.7208984375,2176.0080651350186,5315.916015625,19719.91708984375,1679.7382694705757,5692.34765625,17758.52447265625,2325.0645662805077,10323.3095703125,14567.5175,3666.985645389467,13506.693359375
2020-12-20,22920.16953125,982.8058034651353,4060.21875,20926.951171875,2229.851452051369,5212.302734375,19912.4900390625,1877.515751122567,3851.458984375,17952.45046875,2390.002850781664,9696.2998046875,14698.281298828126,3749.1348889749815,13076.3798828125
2020-12-21,23218.66640625,458.56159053076044,1492.484375,21401.3689453125,2049.216364334542,4744.177734375,20112.49423828125,1964.1625845050419,4000.083984375,18133.769921875,2407.510597280451,9065.97265625,14821.89041015625,3810.658400505321,12360.9111328125
2020-12-22,23414.23984375,446.4834125538957,977.8671875,21899.30625,1950.4520433174464,4979.373046875,20341.59111328125,2113.7796548075744,4581.9375,18338.42072265625,2444.5809659380425,10232.5400390625,14956.48314453125,3887.103648162564,13459.2734375
2020-12-23,23434.916796875,432.67031866485314,103.384765625,22309.2025390625,1724.2925098320413,4098.962890625,20531.3884765625,2197.824028436879,3795.947265625,18524.24162109375,2457.3066194657254,9291.044921875,15082.08822265625,3949.9751234311548,12560.5078125
2020-12-24,23408.140234375,402.08791173264177,-133.8828125,22758.1330078125,1390.4284237532195,4489.3046875,20783.19765625,2264.4203250329138,5036.18359375,18716.28646484375,2482.2655726283397,9602.2421875,15211.478203125,4019.498910912607,12938.998046875
2020-12-25,23645.639453125,696.250345731472,1187.49609375,23282.9044921875,889.3476812865026,5247.71484375,21058.72568359375,2387.6800873670654,5510.560546875,18897.9853125,2578.6296662763643,9084.9423828125,15348.377060546874,4105.949392808335,13689.8857421875
2020-12-26,24372.43046875,1262.9261795449513,3633.955078125,23795.5484375,1082.6394623507285,5126.439453125,21413.321484375,2633.731965504625,7091.916015625,19115.4084375,2744.8949200340867,10871.15625,15503.257529296876,4228.60413782205,15488.046875
2020-12-27,24870.28359375,1449.3733704949038,2489.265625,24142.26171875,1269.307813290694,3467.1328125,21767.3546875,2790.59756580364,7080.6640625,19344.1792578125,2855.2122484217844,11438.541015625,15656.534619140624,4338.07374226545,15327.708984375
2020-12-28,25638.976171875,1387.3512167245099,3843.462890625,24536.946484375,1512.631347248727,3946.84765625,22205.537890625,2906.6178747377026,8763.6640625,19576.28408203125,3002.5434704122817,11605.2412109375,15816.43923828125,4461.173050949801,15990.4619140625
2020-12-29,26364.273828125,1050.8921815059527,3626.48828125,24886.20703125,1729.1941226379463,3492.60546875,22645.96396484375,2990.334347186547,8808.521484375,19816.8865234375,3134.620817089443,12030.1220703125,15980.6808984375,4580.50376237148,16424.166015625
2020-12-30,27199.50625,1021.6567458583891,4176.162109375,25422.5728515625,2046.3819352968326,5363.658203125,23174.76201171875,3107.6503236224426,10575.9609375,20087.8875390625,3315.836162562058,13550.05078125,16164.46783203125,4723.33164735441,18378.693359375
2020-12-31,27712.44296875,1175.3964632060265,2564.68359375,26042.43671875,2102.785620001859,6198.638671875,23721.90283203125,3122.806649491737,10942.81640625,20353.89515625,3485.890867202255,13300.380859375,16349.100439453125,4860.072847250451,18463.2607421875
2021-01-01,28332.814453125,1035.5161925080833,3101.857421875,26601.5490234375,2177.274230890415,5591.123046875,24250.42763671875,3141.056742644606,10570.49609375,20615.851328125,3660.9575089179257,13097.80859375,16540.38009765625,4992.072632914027,19127.9658203125
2021-01-02,29341.30625,1735.241518546687,5042.458984375,27490.1412109375,2449.7470645720223,8885.921875,24899.671875,3363.7434947205875,12984.884765625,20932.0405078125,3953.2178499518095,15809.458984375,16754.052109375,5195.30828569254,21367.201171875
2021-01-03,30425.2234375,1876.9978288875723,5419.5859375,28394.7486328125,2576.3509990316634,9046.07421875,25576.4408203125,3524.3144877751856,13535.37890625,21266.318203125,4230.46799305959,16713.884765625,16974.94517578125,5400.531487687744,22089.306640625
2021-01-04,31051.415625,1733.0781565294817,3130.9609375,29125.4609375,2433.1594502946186,7307.123046875,26204.18271484375,3487.4071725976123,12554.837890625,21586.6447265625,4422.164916173755,16016.326171875,17187.157080078126,5567.8306234958645,21221.1904296875
2021-01-05,32049.557421875,1694.1899831687135,4990.708984375,29881.0001953125,2667.3697120719603,7555.392578125,26838.27431640625,3697.412608555335,12681.83203125,21932.17109375,4700.051163717834,17276.318359375,17419.328681640625,5777.864034709735,23217.16015625
2021-01-06,33539.599609375,2001.3101244117995,7450.2109375,30936.20703125,3128.4833591168795,10552.068359375,27539.234375,4188.803488402272,14019.201171875,22315.750234375,5107.972866828191,19178.95703125,17680.475791015626,6055.0533178636015,26114.7109375
